;Question;Answer;BT_Level
3252;along what fault line did the quake happen ?;according to a study by the china earthquake administration ( cea ) , the earthquake occurred along the longmenshan fault , a thrust structure along the border of the indo-australian plate and eurasian plate .;Knowledge
3253;on which fracture did the quake focus ?;seismic activities concentrated on its mid-fracture ( known as yingxiu-beichuan fracture ) .;Evaluation
3254;when wasmost of the energy released during the initial eruption ?;the rupture lasted close to 120 sec , with the majority of energy released in the first 80 sec .;Knowledge
3255;what was the most displacement caused by the earthquake ?;maximum displacement amounted to 9 meters .;Knowledge
3256;when was the confidential written report sent to the state seismological bureau ?;malaysia-based yazhou zhoukan conducted an interview with former researcher at the china seismological bureau geng qingguo ( 耿庆国 ) , in which geng claimed that a confidential written report was sent to the state seismological bureau on april 30 , 2008 , warning about the possible occurrence of a significant earthquake in ngawa prefecture region of sichuan around may 8 , with a range of 10 days before or after the quake .;Knowledge
3257;when was geng 's drought-earthquake correlation theory released ?;geng 's drought-earthquake correlation theory was first released in 1972 , and said to have successfully predicted the 1975 haicheng and 1976 tangshan earthquakes .;Knowledge
3258;what did researcher geng qingguo say was sent to the state seismological bureau ?;malaysia-based yazhou zhoukan conducted an interview with former researcher at the china seismological bureau geng qingguo ( 耿庆国 ) , in which geng claimed that a confidential written report was sent to the state seismological bureau on april 30 , 2008 , warning about the possible occurrence of a significant earthquake in ngawa prefecture region of sichuan around may 8 , with a range of 10 days before or after the quake .;Application
3259;what did this report warn about ?;malaysia-based yazhou zhoukan conducted an interview with former researcher at the china seismological bureau geng qingguo ( 耿庆国 ) , in which geng claimed that a confidential written report was sent to the state seismological bureau on april 30 , 2008 , warning about the possible occurrence of a significant earthquake in ngawa prefecture region of sichuan around may 8 , with a range of 10 days before or after the quake .;Analysis
3260;what was the predicted time of the quake ?;malaysia-based yazhou zhoukan conducted an interview with former researcher at the china seismological bureau geng qingguo ( 耿庆国 ) , in which geng claimed that a confidential written report was sent to the state seismological bureau on april 30 , 2008 , warning about the possible occurrence of a significant earthquake in ngawa prefecture region of sichuan around may 8 , with a range of 10 days before or after the quake .;Knowledge
3261;what did geng long try to establish as a relationship with earthquakes ?;"geng had long attempted to establish a correlation between the occurrence of droughts and earthquakes ; premier zhou enlai reportedly took an interest in geng 's work .";Knowledge
3262;what did an official with the seismological bureau deny receiving ?;the official also denied that the seismological bureau had received reports predicting the earthquake .;Analysis
3263;how large was the displacement ?;in a united states geological survey ( usgs ) study , preliminary rupture models of the earthquake indicated displacement of up to 9 meters along a fault approximately 240 km long by 20 km deep .;Knowledge
3264;who warned of possible seismic activity in the area beforehand ?;on may 20 , usgs seismologist tom parsons warned that there is `` high risk '' of a major m > 7 aftershock over the next weeks or months .;Comprehension
3265;what did the united states geological survey show as the amount of displacement ?;in a united states geological survey ( usgs ) study , preliminary rupture models of the earthquake indicated displacement of up to 9 meters along a fault approximately 240 km long by 20 km deep .;Application
3266;how long was the fault where the quake occurred ?;in a united states geological survey ( usgs ) study , preliminary rupture models of the earthquake indicated displacement of up to 9 meters along a fault approximately 240 km long by 20 km deep .;Knowledge
3267;how deep is the fault ?;in a united states geological survey ( usgs ) study , preliminary rupture models of the earthquake indicated displacement of up to 9 meters along a fault approximately 240 km long by 20 km deep .;Evaluation
3268;where on the fault is the possibility of future earthquakes increased ?;the earthquake generated deformations of the surface greater than 3 meters and increased the stress ( and probability of occurrence of future events ) at the northeastern and southwestern ends of the fault .;Evaluation
3269;what did tom parsons consider as the risk factor for strong future quakes ?;on may 20 , usgs seismologist tom parsons warned that there is `` high risk '' of a major m > 7 aftershock over the next weeks or months .;Comprehension
3270;how many people were killed in the hanshin earthquake ?;his data also showed that the earthquake lasted about two minutes and released 30 times the energy of the great hanshin earthquake of 1995 in japan , which killed over 6,000 people .;Knowledge
3271;how did yuji yagi say the quake happened ?;japanese seismologist yuji yagi at the university of tsukuba said that the earthquake occurred in two stages : `` the 155-mile longmenshan fault tore in two sections , the first one ripping about seven yards , followed by a second one that sheared four yards . '';Analysis
